type;title;director;cast;country;date_added;release_year;rating;listed_in;description;duration_value;duration_unit;country_count
TV Show;Blood & Water;Unknown;Ama Qamata,Khosi Ngema,Gail Mabalane,Thabang Molaba,Dillon Windvogel,Natasha Thahane,Arno Greeff,Xolile Tshabalala,Getmore Sithole,Cindy Mahlangu,Ryle De Morny,Greteli Fincham,Sello Maake Ka-Ncube,Odwa Gwanya,Mekaila Mathys,Sandi Schultz,Duane Williams,Shamilla Miller,Patrick Mofokeng;South Africa;2021-09-24;2021;TV-MA;International TV Shows, TV Dramas, TV Mysteries;After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.;2;Seasons;1
TV Show;Ganglands;Julien Leclercq;Sami Bouajila,Tracy Gotoas,Samuel Jouy,Nabiha Akkari,Sofia Lesaffre,Salim Kechiouche,Noureddine Farihi,Geert Van Rampelberg,Bakary Diombera;Unknown;2021-09-24;2021;TV-MA;Crime TV Shows, International TV Shows, TV Action & Adventure;To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.;1;Season;0
TV Show;Jailbirds New Orleans;Unknown;Unknown;Unknown;2021-09-24;2021;TV-MA;Docuseries, Reality TV;Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.;1;Season;0
TV Show;Kota Factory;Unknown;Mayur More,Jitendra Kumar,Ranjan Raj,Alam Khan,Ahsaas Channa,Revathi Pillai,Urvi Singh,Arun Kumar;India;2021-09-24;2021;TV-MA;International TV Shows, Romantic TV Shows, TV Comedies;In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.;2;Seasons;1
TV Show;Midnight Mass;Mike Flanagan;Kate Siegel,Zach Gilford,Hamish Linklater,Henry Thomas,Kristin Lehman,Samantha Sloyan,Igby Rigney,Rahul Kohli,Annarah Cymone,Annabeth Gish,Alex Essoe,Rahul Abburi,Matt Biedel,Michael Trucco,Crystal Balint,Louis Oliver;Unknown;2021-09-24;2021;TV-MA;TV Dramas, TV Horror, TV Mysteries;The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.;1;Season;0
TV Show;The Great British Baking Show;Andy Devonshire;Mel Giedroyc,Sue Perkins,Mary Berry,Paul Hollywood;United Kingdom;2021-09-24;2021;TV-14;British TV Shows, Reality TV;A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best.;9;Seasons;1
TV Show;Vendetta: Truth, Lies and The Mafia;Unknown;Unknown;Unknown;2021-09-24;2021;TV-MA;Crime TV Shows, Docuseries, International TV Shows;"Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?";1;Season;0
TV Show;Bangkok Breaking;Kongkiat Komesiri;Sukollawat Kanarot,Sushar Manaying,Pavarit Mongkolpisit,Sahajak Boonthanakit,Suthipongse Thatphithakkul,Bhasaworn Bawronkirati,Daweerit Chullasapya,Waratthaya Wongchayaporn,Kittiphoom Wongpentak,Abhicha Thanachanun,Nophand Boonyai,Kittipong Khamsat,Arisara Wongchalee,Jaytiya Naiwattanakul,Pantipa Arunwattanachai,Panupan Jantanawong,Kungtap Saelim,Phumphat Chartsuriyakiat,Issara Veranitinunt,Keerati Sivakuae,Panjai Sirisuwan,Supranee Charoenpol,Suda Chuenban,Visaka Banhansupavat,Pitchatorn Santinatornkul;Unknown;2021-09-23;2021;TV-MA;Crime TV Shows, International TV Shows, TV Action & Adventure;Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.;1;Season;0
TV Show;Crime Stories: India Detectives;Unknown;Unknown;Unknown;2021-09-22;2021;TV-MA;British TV Shows, Crime TV Shows, Docuseries;Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.;1;Season;0
TV Show;Dear White People;Unknown;Logan Browning,Brandon P. Bell,DeRon Horton,Antoinette Robertson,John Patrick Amedori,Ashley Blaine Featherson,Marque Richardson,Giancarlo Esposito;United States;2021-09-22;2021;TV-MA;TV Comedies, TV Dramas;"Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks.";4;Seasons;1
TV Show;Falsa identidad;Unknown;Luis Ernesto Franco,Camila Sodi,Sergio Goyri,Samadhi Zendejas,Eduardo Yáñez,Sonya Smith,Alejandro Camacho,Azela Robinson,Uriel del Toro,Géraldine Bazán,Gabriela Roel,Marcus Ornellas;Mexico;2021-09-22;2020;TV-MA;Crime TV Shows, Spanish-Language TV Shows, TV Dramas;Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.;2;Seasons;1
TV Show;Jaguar;Unknown;Blanca Suárez,Iván Marcos,Óscar Casas,Adrián Lastra,Francesc Garrido,Stefan Weinert,Julia Möller,Alicia Chojnowski;Unknown;2021-09-22;2021;TV-MA;International TV Shows, Spanish-Language TV Shows, TV Action & Adventure;In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII.;1;Season;0
TV Show;Monsters Inside: The 24 Faces of Billy Milligan;Olivier Megaton;Unknown;Unknown;2021-09-22;2021;TV-14;Crime TV Shows, Docuseries, International TV Shows;In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.;1;Season;0
TV Show;Resurrection: Ertugrul;Unknown;Engin Altan Düzyatan,Serdar Gökhan,Hülya Darcan,Kaan Taşaner,Esra Bilgiç,Osman Soykut,Serdar Deniz,Cengiz Coşkun,Reshad Strik,Hande Subaşı;Turkey;2021-09-22;2018;TV-14;International TV Shows, TV Action & Adventure, TV Dramas;When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land.;5;Seasons;1
TV Show;Love on the Spectrum;Unknown;Brooke Satchwell;Australia;2021-09-21;2021;TV-14;Docuseries, International TV Shows, Reality TV;Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated.;2;Seasons;1
TV Show;Chicago Party Aunt;Unknown;Lauren Ash,Rory O'Malley,RuPaul Charles,Jill Talley,Ike Barinholtz,Jon Barinholtz,Matthew Craig,Bob Odenkirk,Mike Hagerty,Katie Rich,Chris Witaske;Unknown;2021-09-17;2021;TV-MA;TV Comedies;Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.;1;Season;0
TV Show;Sex Education;Unknown;Asa Butterfield,Gillian Anderson,Ncuti Gatwa,Emma Mackey,Connor Swindells,Kedar Williams-Stirling,Alistair Petrie;United Kingdom;2021-09-17;2020;TV-MA;British TV Shows, International TV Shows, TV Comedies;Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic.;3;Seasons;1
TV Show;Squid Game;Unknown;Lee Jung-jae,Park Hae-soo,Wi Ha-jun,Oh Young-soo,Jung Ho-yeon,Heo Sung-tae,Kim Joo-ryoung,Tripathi Anupam,You Seong-joo,Lee You-mi;Unknown;2021-09-17;2021;TV-MA;International TV Shows, TV Dramas, TV Thrillers;Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes.;1;Season;0
TV Show;Tayo and Little Wizards;Unknown;Dami Lee,Jason Lee,Bommie Catherine Han,Jennifer Waescher,Nancy Kim;Unknown;2021-09-17;2020;TV-Y7;Kids' TV;Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.;1;Season;0
TV Show;Angry Birds;Unknown;Antti Pääkkönen,Heljä Heikkinen,Lynne Guaglione,Pasi Ruohonen,Rauno Ahonen;Finland;2021-09-16;2018;TV-Y7;Kids' TV, TV Comedies;Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal.;1;Season;1
TV Show;Chhota Bheem;Unknown;Vatsal Dubey,Julie Tejwani,Rupa Bhimani,Jigna Bhardwaj,Rajesh Kava,Mousam,Swapnil;India;2021-09-16;2021;TV-Y7;Kids' TV;A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil.;3;Seasons;1
TV Show;He-Man and the Masters of the Universe;Unknown;Yuri Lowenthal,Kimberly Brooks,Antony Del Rio,Trevor Devall,Ben Diskin,Grey Griffin,David Kaye,Tom Kenny,Judy Alice Lee,Roger Craig Smith,Fred Tatasciore;United States;2021-09-16;2021;TV-Y7;Kids' TV, TV Sci-Fi & Fantasy;Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull — and their destiny to defend Eternia from sinister Skeletor.;1;Season;1
TV Show;The Smart Money Woman;Bunmi Ajakaiye;Osas Ighodaro,Ini Dima-Okojie,Kemi Lala Akindoju,Toni Tones,Ebenezer Eno,Eso Okolocha DIke,Patrick Diabuah,Karibi Fubara,Temisan Emmanuel,Timini Egbuson;Unknown;2021-09-16;2020;TV-MA;International TV Shows, Romantic TV Shows, TV Comedies;Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel.;1;Season;0
TV Show;Castle and Castle;Unknown;Richard Mofe-Damijo,Dakore Akande,Bimbo Manuel,Blossom Chukwujekwu,Deyemi Okanlawon,Etim Effiong,Denola Grey,Duke Akintola,Eku Edewor,Ade Laoye,Anee Icha,Kevin Ushi,Jude Chukwuka,Amanda Afolabi;Nigeria;2021-09-15;2021;TV-MA;International TV Shows, TV Dramas;A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage.;2;Seasons;1
TV Show;Dharmakshetra;Unknown;Kashmira Irani,Chandan Anand,Dinesh Mehta,Ankit Arora,Pushkar Goggiaa,Anjali Rana,Aarya DharmChand Kumar,Amit Behl,Maleeka Ghai;India;2021-09-15;2014;TV-PG;International TV Shows, TV Dramas, TV Sci-Fi & Fantasy;After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains.;1;Season;1
TV Show;Nailed It;Unknown;Nicole Byer,Jacques Torres;United States;2021-09-15;2021;TV-PG;Reality TV;Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess.;6;Seasons;1
TV Show;Numberblocks;Unknown;Beth Chalmers,David Holt,Marcel McCalla,Teresa Gallagher;United Kingdom;2021-09-15;2021;TV-Y;Kids' TV;In a place called Numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together.;6;Seasons;1
TV Show;Raja Rasoi Aur Anya Kahaniyan;Unknown;Unknown;India;2021-09-15;2014;TV-G;Docuseries, International TV Shows;Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat.;1;Season;1
TV Show;Saved by the Bell;Unknown;Mark-Paul Gosselaar,Tiffani Thiessen,Mario Lopez,Lark Voorhies,Elizabeth Berkley,Dustin Diamond,Dennis Haskins;United States;2021-09-15;1994;TV-PG;Kids' TV, TV Comedies;From middle school to college, best friends Zack, Kelly, Slater, Jessie, Screech and Lisa take on the highs and lows of life together in this hit series.;9;Seasons;1
TV Show;Stories by Rabindranath Tagore;Unknown;Unknown;India;2021-09-15;2015;TV-PG;International TV Shows, TV Dramas;The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal.;1;Season;1
TV Show;Too Hot To Handle: Latino;Unknown;Itatí Cantoral;Unknown;2021-09-15;2021;TV-MA;International TV Shows, Reality TV, Romantic TV Shows;On this reality show, singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000.;1;Season;0
TV Show;Jack Whitehall: Travels with My Father;Unknown;Jack Whitehall,Michael Whitehall;United Kingdom;2021-09-14;2021;TV-MA;British TV Shows, Docuseries, International TV Shows;Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond.;5;Seasons;1
TV Show;The World's Most Amazing Vacation Rentals;Unknown;Unknown;Unknown;2021-09-14;2021;TV-PG;Reality TV;With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series.;2;Seasons;0
TV Show;Yowamushi Pedal;Unknown;Daiki Yamashita,Kohsuke Toriumi,Jun Fukushima,Hiroki Yasumoto,Showtaro Morikubo,Kentaro Ito,Daisuke Kishio,Yoshitsugu Matsuoka,Junichi Suwabe,Ayaka Suwa,Megumi Han,Tomoaki Maeno,Tsubasa Yonaga,Tetsuya Kakihara,Satoshi Hino,Hiroyuki Yoshino,Atsushi Abe,Koji Yusa,Kouki Miyata,Hiro Shimono,Wataru Hatano,Yuichi Nakamura,Kenji Nojima,Mamoru Miyano,Daisuke Ono,Yuma Uchida,Jun Fukuyama;Japan;2021-09-14;2013;TV-14;Anime Series, International TV Shows;A timid, anime-loving teen gets drawn into a school cycling club, where his new friends help him face tough challenges to develop his racing talent.;1;Season;1
TV Show;Lucifer;Unknown;Tom Ellis,Lauren German,Kevin Alejandro,D.B. Woodside,Lesley-Ann Brandt,Scarlett Estevez,Rachael Harris,Aimee Garcia,Tricia Helfer,Tom Welling,Jeremiah W. Birkett,Pej Vahdat,Michael Gladis;United States;2021-09-10;2021;TV-14;Crime TV Shows, TV Comedies, TV Dramas;Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective.;6;Seasons;1
TV Show;Metal Shop Masters;Unknown;Jo Koy;Unknown;2021-09-10;2021;TV-MA;Reality TV;On this competition show, a group of metal artists torch, cut and weld epic, badass creations from hardened steel. Only one will win a $50,000 prize.;1;Season;0
TV Show;Pokémon Master Journeys: The Series;Unknown;Ikue Otani,Sarah Natochenny,Zeno Robinson,Cherami Leigh,James Carter Cathcart,Michele Knotz,Rodger Parsons,Ray Chase,Casey Mongillo,Tara Sands;Unknown;2021-09-10;2021;TV-Y7;Anime Series, Kids' TV;As Ash battles his way through the World Coronation Series, Goh continues his quest to catch every Pokémon. Together, they're on a journey to adventure!;1;Season;0
TV Show;Titipo Titipo;Unknown;Jeon Hae-ri,Kim Eun-ah,Hong Bum-ki,Nam Do-hyeong,Um Sang-hyun;Unknown;2021-09-10;2019;TV-Y;Kids' TV, Korean TV Shows;Titipo the train is out to prove that he's got what it takes to help the folks of Train Village ride the rails safely and reliably.;2;Seasons;0
TV Show;Mighty Raju;Unknown;Julie Tejwani,Sabina Malik,Jigna Bhardwaj,Rupa Bhimani,Lalit Agarwal,Rajesh Shukla,Rajesh Kava;Unknown;2021-09-09;2017;TV-Y7;Kids' TV;Born with superhuman abilities, young Raju wants to use his powers to make the world a better place — but that will mean facing plenty of challenges!;4;Seasons;0
TV Show;Into the Night;Unknown;Pauline Etienne,Laurent Capelluto,Stefano Cassetti,Mehmet Kurtuluş,Babetida Sadjo,Jan Bijvoet,Ksawery Szlenkier,Vincent Londez,Regina Bikkinina,Alba Gaïa Kraghede Bellugi,Nabil Mallat;Belgium;2021-09-08;2021;TV-MA;International TV Shows, TV Dramas, TV Mysteries;Passengers and crew aboard a hijacked overnight flight scramble to outrace the sun as a mysterious cosmic event wreaks havoc on the world below.;2;Seasons;1
TV Show;The Circle;Unknown;Michelle Buteau;United States, United Kingdom;2021-09-08;2021;TV-MA;Reality TV;Status and strategy collide in this social experiment and competition show where online players flirt, befriend and catfish their way toward $100,000.;3;Seasons;2
TV Show;Kid Cosmic;Unknown;Jack Fisher,Tom Kenny,Amanda C. Miller,Kim Yarbrough,Keith Ferguson,Grey Griffin,Lily Rose Silver;United States;2021-09-07;2021;TV-Y7;Kids' TV, TV Comedies, TV Sci-Fi & Fantasy;A boy's superhero dreams come true when he finds five powerful cosmic stones. But saving the day is harder than he imagined — and he can't do it alone.;2;Seasons;1
TV Show;Octonauts: Above & Beyond;Unknown;Antonio Aakeel,Chipo Chung,Simon Foster,Teresa Gallagher,Simon Greenall,Kate Harbour,Paul Panting,Rob Rackstraw,William Vanderpuye,Helen Walsh,Keith Wickham,Andres Williams,Jo Wyatt;United Kingdom;2021-09-07;2021;TV-Y;British TV Shows, Kids' TV;The Octonauts expand their exploration beyond the sea — and onto land! With new rides and new friends, they'll protect any habitats and animals at risk.;1;Season;1
TV Show;On the Verge;Unknown;Julie Delpy,Elisabeth Shue,Sarah Jones,Alexia Landeau,Mathieu Demy,Troy Garity,Timm Sharp,Giovanni Ribisi;France, United States;2021-09-07;2021;TV-MA;TV Comedies, TV Dramas;Four women — a chef, a single mom, an heiress and a job seeker — dig into love and work, with a generous side of midlife crises, in pre-pandemic LA.;1;Season;2
TV Show;Tobot Galaxy Detectives;Unknown;Austin Abell,Travis Turner,Cole Howard,Anna Cummer,Jesse Inocalla,Brian Dobson,Michael Adamthwaite,Joseph Girgis,Caitlyn Bairstow;Unknown;2021-09-07;2019;TV-Y7;Kids' TV;An intergalactic device transforms toy cars into robots: the Tobots! Working with friends to solve mysteries, they protect the world from evil.;2;Seasons;0
TV Show;Countdown: Inspiration4 Mission to Space;Jason Hehir;Unknown;Unknown;2021-09-06;2021;TV-14;Docuseries, Science & Nature TV;From training to launch to landing, this all-access docuseries rides along with the Inspiration4 crew on the first all-civilian orbital space mission.;1;Season;0
TV Show;Tayo the Little Bus;Unknown;Robyn Slade,Kami Desilets;South Korea;2021-09-06;2016;TV-Y;Kids' TV, Korean TV Shows;As they learn their routes around the busy city, Tayo and his little bus friends discover new sights and go on exciting adventures every day.;2;Seasons;1
TV Show;Bunk'd;Unknown;Peyton List,Karan Brar,Skai Jackson,Miranda May,Kevin G. Quinn,Nathan Arenas,Nina Lu;United States;2021-09-05;2021;TV-G;Kids' TV, TV Comedies;"The Ross siblings of Disney's hit series ""Jessie"" spend a summer full of fun and adventure at Maine's Camp Kikiwaka, where their parents first met.";5;Seasons;1
TV Show;Dive Club;Unknown;Aubri Ibrag,Sana'a Shaik,Miah Madden,Mercy Cornwall,Georgia-May Davis,Ryan Harrison,Josh Heuston,Alexander Grant;Australia;2021-09-03;2021;TV-G;Kids' TV, TV Dramas, Teen TV Shows;On the shores of Cape Mercy, a skillful group of teen divers investigate a series of secrets and signs after one of their own mysteriously goes missing.;1;Season;1
TV Show;La casa de papel;Unknown;Úrsula Corberó,Itziar Ituño,Álvaro Morte,Paco Tous,Enrique Arce,Pedro Alonso,María Pedraza,Alba Flores,Miguel Herrán,Jaime Lorente,Esther Acebo,Darko Peric,Kiti Mánver;Spain;2021-09-03;2021;TV-MA;Crime TV Shows, International TV Shows, Spanish-Language TV Shows;Eight thieves take hostages and lock themselves in the Royal Mint of Spain as a criminal mastermind manipulates the police to carry out his plan.;5;Seasons;1
TV Show;Money Heist: From Tokyo to Berlin;Luis Alfaro, Javier Gómez Santander;Unknown;Unknown;2021-09-03;2021;TV-MA;Docuseries, International TV Shows, Spanish-Language TV Shows;"The filmmakers and actors behind ""Money Heist"" characters like Tokyo and the Professor talk about the emotional artistic process of filming the series.";1;Season;0
TV Show;Sharkdog;Unknown;Liam Mitchell,Dee Bradley Baker,Grey Griffin,Josh McDermitt,Kari Wahlgren,Judy Alice Lee,Ali Mawji;United States, Singapore;2021-09-03;2021;TV-Y;Kids' TV;Half shark, half dog with a big heart and a belly full of fish sticks! Together, Sharkdog and his human pal Max can take on any silly or messy adventure.;1;Season;2
TV Show;Heroes of Goo Jit Zu;Unknown;Jon Allen,Kellen Goff,Joe Hernandez,Kaiji Tang;Australia;2021-09-02;2021;TV-Y7;Kids' TV, TV Comedies;After a meteor crash, a group of zoo animals transforms into squishy, gooey and stretchy superheroes with special powers and soon takes on evildoers.;1;Season;1
TV Show;Hotel Del Luna;Unknown;Lee Ji-eun,Yeo Jin-goo,Shin Jung-geun,Seo Yi-sook,Bae Hae-sun,Pyo Ji-hoon,Cho Hyun-chul,Kang Hong-suk,Lee Do-hyun,Lee Tae-seon,Kang Mina,Park You-na,Oh Ji-ho;Unknown;2021-09-02;2019;TV-14;International TV Shows, Romantic TV Shows, TV Comedies;When he's invited to manage a hotel for dead souls, an elite hotelier gets to know the establishment's ancient owner and her strange world.;1;Season;0
TV Show;Luv Kushh;Unknown;Unknown;Unknown;2021-09-02;2012;TV-Y7;Kids' TV;Based on the last book of the epic Ramayana, this series follows the endeavors and adventures of Lord Rama’s twin sons through their childhood.;1;Season;0
TV Show;Pororo - The Little Penguin;Unknown;Unknown;South Korea;2021-09-02;2013;TV-Y7;Kids' TV, Korean TV Shows;On a tiny island, Pororo the penguin has fun adventures with his friends Eddy the fox, Loopy the beaver, Poby the polar bear and Crong the dinosaur.;3;Seasons;1
TV Show;Q-Force;Unknown;Sean Hayes,Wanda Sykes,Laurie Metcalf,David Harbour,Gary Cole,Patti Harrison,Matt Rogers;United States;2021-09-02;2021;TV-MA;Crime TV Shows, TV Action & Adventure, TV Comedies;A gay superspy and his scrappy LGBTQ squad fight to prove themselves to the agency that underestimated them. Today, West Hollywood… tomorrow, the world!;1;Season;1
TV Show;Brave Animated Series;Unknown;Tseng Yun-fan,Kao Yun-shuo,Chiang Ching-yen,Meng Ching-fu,Huang Bai-wei,Ma Kuo-yao,Chen Yen-chun,Sun Ke-fang,Kai Yang-niu,Chen Yu-wen,Nick Liao,Lin Kai-ling,Mickey Huang,Liu Kuan-ting,Jiang Du-hui;Unknown;2021-09-01;2021;TV-MA;International TV Shows, TV Action & Adventure, TV Comedies;A group of superheroes sets out to rid the world of evil — only to realize they may not be standing on the side of justice. Based on a popular comic.;1;Season;0
TV Show;How to Be a Cowboy;Unknown;Unknown;Unknown;2021-09-01;2021;TV-PG;Reality TV;Dale Brisby uses social media savvy and rodeo skills to keep cowboy traditions alive — and now he's teaching the world how to cowboy right, ol' son.;1;Season;0
TV Show;HQ Barbers;Gerhard Mostert;Hakeem Kae-Kazim,Chioma Omeruah,Orukotan Adejola,Flora Chiedo,Emeka Nwagbaraocha,Anthony Oseyemi,Oluwabukola Thomas,Soibifaa Dokubo;Unknown;2021-09-01;2020;TV-14;TV Shows;When a family run barber shop in the heart of Lagos is threatened by real estate developers, they'll do whatever it takes to stay in business.;1;Season;0
TV Show;Kid-E-Cats;Unknown;Lori Gardner,Kate Bristol,Billy Bob Thompson,Marc Thompson,Erica Schroeder;Russia;2021-09-01;2016;TV-Y;Kids' TV;Cookie, Pudding and Candy are kitten siblings whose favorite things are sweet treats and letting their curiosity lead them on adventures in learning.;2;Seasons;1
TV Show;Kuroko's Basketball;Unknown;Kensho Ono,Yuki Ono,Chiwa Saito,Yoshimasa Hosoya,Hirofumi Nojima,Kenji Hamada,Takuya Eguchi,Soichiro Hoshi,Tatsuhisa Suzuki,Go Inoue,Daisuke Ono,Ryohei Kimura,Junichi Suwabe,Kazuya Nakai,Fumiko Orikasa,Kenichi Suzumura,Kisho Taniyama,Hiroshi Kamiya;Japan;2021-09-01;2015;TV-MA;Anime Series, International TV Shows, Teen TV Shows;Five middle school basketball stars went to separate high schools, and now Tetsuya Kuroko and Seirin High are making their play for glory.;3;Seasons;1
TV Show;Major Dad;Unknown;Gerald McRaney,Shanna Reed,Nicole Dubuc,Chelsea Hertford,Marisa Ryan,Matt Mulhern,Beverly Archer,Jon Cypher;United States;2021-09-01;1992;TV-PG;TV Comedies;When he marries a journalist and becomes stepdad to her daughters, a U.S. Marine finds his once-orderly life no longer entirely under his command.;4;Seasons;1
TV Show;Oldsters;Unknown;Patricio Contreras,Alejandro Goic,Sergio Hernández,Mariana Loyola Ruz,Alejandro Trejo,Daniel Alcaíno Cuevas,Nicolás Poblete,Susana Hidalgo,Gloria Münchmeyer;Unknown;2021-09-01;2019;TV-MA;Crime TV Shows, International TV Shows, Spanish-Language TV Shows;Three friends in their 70s step out of retirement to become a band of outlaws whose mission is to help those let down by the justice system.;1;Season;0
TV Show;Turning Point: 9/11 and the War on Terror;Unknown;Unknown;Unknown;2021-09-01;2021;TV-14;Docuseries;This unflinching series documents the 9/11 terrorist attacks, from Al Qaeda's roots in the 1980s to America's response, both at home and abroad.;1;Season;0
TV Show;Sparking Joy;Unknown;Marie Kondo;United States;2021-08-31;2021;TV-PG;Reality TV;In this reality series, Marie Kondo brings her joyful tidying tactics to people struggling to balance work and home life — and shares her own world.;1;Season;1
TV Show;Hometown Cha-Cha-Cha;Unknown;Shin Min-a,Kim Seon-ho,Lee Sang-yi,Gong Min-jeung,Kim Young-ok,Cho Han-cheul,In Gyo-jin,Lee Bong-ryeon,Cha Cheong-hwa,Kang Hyung-suk;Unknown;2021-08-29;2021;TV-14;International TV Shows, Romantic TV Shows, TV Comedies;A big-city dentist opens up a practice in a close-knit seaside village, home to a charming jack-of-all-trades who is her polar opposite in every way.;1;Season;0
TV Show;The Ingenuity of the Househusband;Unknown;Kenjiro Tsuda;Unknown;2021-08-29;2021;TV-G;International TV Shows, TV Comedies;A tough guy with a knack for housework tackles household tasks with meticulous care in these comedic live-action vignettes.;1;Season;0
TV Show;Bread Barbershop;Unknown;Um Sang-hyun,Park Yoon-hee,Kang Shi-hyun,Hong Bum-ki,Kim Hyun-wook,Lee In-suk,Song Ha-rim;Unknown;2021-08-28;2020;TV-Y;Kids' TV, TV Comedies;In a town filled with food, Bread is a master cake decorator who gives life-changing makeovers that will put any customer in an amazing mood.;2;Seasons;0
TV Show;D.P.;Unknown;Jung Hae-in,Koo Kyo-hwan,Kim Sung-kyun,Son Suk-ku;, South Korea;2021-08-27;2021;TV-MA;International TV Shows, TV Dramas;A young private’s assignment to capture army deserters reveals the painful reality endured by each enlistee during his compulsory call of duty.;1;Season;2
TV Show;Deadly Sins;Unknown;Frank Ramirez,Patricia Castañeda,Chela del Río,Patrick Delmas,María José Martínez,Robinson Díaz,Juan Ángel,Guillermo Olarte,Constanza Duque,Marcela Carvajal;Unknown;2021-08-27;2002;TV-MA;International TV Shows, Spanish-Language TV Shows, TV Dramas;A multimillionaire fakes his death and forces his relatives to live together in his mansion for one year to see who's worthy of inheriting his fortune.;1;Season;0
TV Show;I Heart Arlo;Unknown;Michael J. Woodard,Mary Lambert,Jonathan Van Ness,Haley Tju,Brett Gelman,Tony Hale,Vincent Rodriguez III,Annie Potts,Jessica Williams,Melissa Villaseñor,Cathy Vu,Jennifer Coolidge,Flea;Unknown;2021-08-27;2021;TV-Y7;Kids' TV, TV Comedies;It's a whole new world for Arlo and his one-of-a kind pals when they set out to restore a run-down New York City neighborhood — and make it their own.;1;Season;0
TV Show;King of Boys: The Return of the King;Kemi Adetiba;"Sola Sobowale,Toni Tones,Richard Mofe-Damijo,Efa Iwara,Titi Kuti,Tobechukwu ""iLLbliss"" Ejiofor,Remilekun ""Reminisce"" Safaru,Charles  ""Charly Boy"" Oputa,Nse Ikpe-Etim,Keppy Ekpenyong Bassey,Bimbo Manuel,Akin Lewis,Lord Frank,Osas Ighodaro,Taiwo Ajai-Lycett,Paul Sambo";Nigeria;2021-08-27;2021;TV-MA;Crime TV Shows, International TV Shows, TV Dramas;Alhaja Eniola Salami starts anew and sets her sights on a different position of power, fueled by revenge, regret and ruthlessness.;1;Season;1
TV Show;Rebellion;Unknown;Charlie Murphy,Ruth Bradley,Sarah Greene,Brian Gleeson,Michelle Fairley,Ian McElhinney,Michael Ford-FitzGerald,Paul Reid,Barry Ward,Tom Turner,Perdita Weeks,Andrew Simpson,Sophie Robinson;Ireland;2021-08-27;2016;TV-MA;International TV Shows, TV Dramas;As World War I rages, three women and their families in Dublin choose sides in the violent Easter Rising revolt against British rule.;2;Seasons;1
